question,answer,source
What is the primary benefit of semantic-version-based intelligent routing when using a service from the Choreo Marketplace as a dependency?,"The primary benefit of semantic-version-based intelligent routing is that it ensures dependencies remain up-to-date without requiring manual updates within a major version, as the dependent service's traffic automatically routes to the latest version of the corresponding service within the same major version.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
"Explain how semantic-version-based intelligent routing works when a dependent service connects to a Choreo Marketplace service, using the provided example of `Foo` and `Bar`.","When a user creates a connection for their Choreo component named `Foo` to a Choreo service named `Bar`, which is available in the Choreo Marketplace as version `v1`, and if the latest version of `Bar` within the `v1` range is `v1.2`, the component `Foo` will automatically connect to `Bar` `v1.2`. Subsequently, if `Bar` releases version `v1.3`, traffic from `Foo` will automatically route to `Bar` `v1.3` without any manual intervention.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
How can services in the Choreo Marketplace be edited?,"Services in the Choreo Marketplace can be edited. During redeployment to any environment, Choreo automatically updates service definitions, visibility, and descriptions.",docs\choreo-concepts\choreo-marketplace.md/Edit services in the Choreo Marketplace
What specific service details are automatically updated during redeployment to any environment?,"During redeployment to any environment, Choreo automatically updates service definitions, visibility, and descriptions.",docs\choreo-concepts\choreo-marketplace.md/Edit services in the Choreo Marketplace
What is the primary benefit of Choreo's CI/CD experience?,Choreo provides a streamlined continuous integration and continuous deployment (CI/CD) experience to deploy applications and services efficiently across multiple environments.,docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"How does Choreo manage environments for projects, and what is an environment defined as?","Choreo creates environments for each project, where all components within the project share the environments. An environment is an isolated deployment area with restricted network and resource access. Services deployed in one environment cannot communicate with services deployed in another.",docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"What are the default environments provided by the Choreo cloud data plane, and can environments be customized in a private data plane organization?","The Choreo cloud data plane provides two default environments (i.e., development and production). However, if you are in a private data plane organization, you can customize and create multiple environments based on your requirements.",docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"Explain Choreo's 'build once, deploy many' strategy for managing components across multiple environments.","Choreo adopts a *build once, deploy many* strategy to manage components across multiple environments. An application is built only once (i.e., per commit if automatic build on commit is enabled or based on the selected commit during a manual build). Then it is promoted to subsequent environments. This allows testing changes in lower, non-production environments like development before promoting the build to production.",docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"How does Choreo handle configurations and secrets, and what types of information do they include?","Choreo injects configurations and secrets that you maintain at the environment level into components at runtime. This ensures a strict separation of environment-specific configurations from source code. Although configurations can vary across environments, the code and the built container remain unchanged. Configurations and secrets include: Resource credentials to a database, cache, or other backing services, and Credentials to external cloud services such as Amazon S3 or external APIs.",docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"How are configurations and secrets secured in Choreo, and where can they be stored in a private data plane organization?","All configurations and secrets are encrypted at rest and in transit and stored in a secure vault. In a private data plane organization, you can store configurations and secrets in your infrastructure.",docs\choreo-concepts\ci-cd.md/CI/CD Overview & Environments
"How are build pipelines generated in Choreo, and what are the general steps involved?","Choreo auto-generates build pipelines that may slightly differ depending on the component type you create. Generally, all build pipelines work as follows: Builds a container image either from the provided source code or from a given Dockerfile for a specific commit; Runs security and vulnerability scans if applicable, depending on the component type; Pushes the container image to a container registry (in the cloud data plane, Choreo pushes the image to a Choreo-managed registry, while in a private data plane organization, Choreo pushes the image to a registry that you own); Updates service endpoints and API specifications from the provided repository if applicable.",docs\choreo-concepts\ci-cd.md/Build
Do Choreo's buildpacks support integrating unit tests into the build pipeline?,"In addition to the general steps, some buildpacks support integrating unit tests into the build pipeline.",docs\choreo-concepts\ci-cd.md/Build
"What are repeatable builds in Choreo, and what happens if multiple builds are initiated from the same code version?","Choreo can replicate builds from an identical code version (Git commit). This means that multiple builds initiated from the same Git commit will generate Docker images with the same behavior. In the event of multiple builds from the same code version, Choreo preserves only the most recent version of the Docker image created from the particular code version.",docs\choreo-concepts\ci-cd.md/Build
"How can a build be triggered manually in Choreo, and what specific option is available for Admin and Choreo DevOps users?","On the **Build** page, you can click **Build Latest**. If necessary, you have the option to select a particular commit and build an image. Admin and Choreo DevOps users can trigger builds using specific tags from the connected Git repository. However, this action bypasses the standard branch-based deployment process and should only be used for critical, time-sensitive scenarios, as it can disrupt deployment track integrity.",docs\choreo-concepts\ci-cd.md/Build
"How can automatic builds be enabled in Choreo, and where can build logs be viewed?","If you want to automatically trigger a build with each commit, you can enable **Auto Build on Commit**. You can view build logs for specific builds on the **Build** page. To view details of a specific build, click **View Details** corresponding to the build.",docs\choreo-concepts\ci-cd.md/Build
What are the two approaches to deploy an image in Choreo once it's built?,"Once an image is built in Choreo, it can be deployed via the **Deploy** page using one of two approaches: **Manually deploy**: In the **Deploy** page, go to the **Set Up** card and click **Deploy**. **Automatically deploy on build**: In the **Deploy** page, go to the **Set Up** card and enable **Auto Deploy on Build**. This automatically initiates deployment upon the completion of an automatic build.",docs\choreo-concepts\ci-cd.md/Deployment
"What is the prerequisite for enabling 'Auto Deploy on Build', and why is it necessary?","To enable **Auto Deploy on Build**, you must enable **Auto Build on Commit**. This is because automatic deployment is not necessary or useful in scenarios where automatic build is not enabled.",docs\choreo-concepts\ci-cd.md/Deployment
"Are there any special considerations for deploying Ballerina components, especially regarding configurable values?","Yes, you must trigger the first build in a Ballerina component manually to ensure that Choreo applies the required configurations to the development environment, after which automatic builds can be enabled. Choreo automatically checks the configurable defined in your source code against the configurable values applied in an environment. Choreo requests the configurable values on deployment and promotion. If you have changed the configurables in your Ballerina component, auto-build pipelines can fail as a precaution to avoid a component crash at runtime due to missing configurables. This configurable verifying capability is only available for Ballerina components.",docs\choreo-concepts\ci-cd.md/Deployment
What precautions should be taken for Dockerfile-based components regarding configurations and secrets?,"For Dockerfile-based components, you must ensure to manage and update the configurations and secrets in environments ahead of time. You must also ensure backward compatibility between at least one release if you change the configurations.",docs\choreo-concepts\ci-cd.md/Deployment
Describe the 'set up area' and 'initial deployment' in Choreo's deploy phase.,"In the deploy phase, Choreo uses a setup area to merge the Docker image with its environment-independent configurations. Choreo then deploys this composite to the environment. This is known as the initial deployment.",docs\choreo-concepts\ci-cd.md/Deployment
What are immutable deployments in Choreo?,"Once Choreo deploys a component with configurations, the configurations become immutable. Any subsequent change results in a new deployment.",docs\choreo-concepts\ci-cd.md/Deployment
How does Choreo facilitate the promotion of a component to a higher environment?,Choreo builds a container once per GitHub commit and then promotes it to subsequent higher environments. You can go to the **Deploy** page of a component and promote it manually across environments.,docs\choreo-concepts\ci-cd.md/Deployment
What types of configurations can be defined in Choreo?,Choreo allows you to define both environment-independent configurations and environment-specific configurations.,docs\choreo-concepts\ci-cd.md/Configurations
How are environment-independent configurations managed and applied in Choreo?,"Environment-independent configurations apply to all environments. To change them, go to the **Deploy** page of the component, make the necessary configuration changes via the **Set Up** card, and then trigger a new deployment to the initial environment. From there, you can proceed to promote the component to higher environments.",docs\choreo-concepts\ci-cd.md/Configurations
How are environment-specific configurations managed and applied in Choreo?,"Environment-specific configurations apply to a particular environment. To change them, go to the **Deploy** page of the component, make the necessary configuration changes via the specific environment card, and trigger a new deployment.",docs\choreo-concepts\ci-cd.md/Configurations
"For which component types is the 'Execute' page applicable, and what information does it provide?","The information on the **Execute** page is only applicable to scheduled and manual task components. To track and monitor executions associated with a deployed scheduled task or manual task, go to the left navigation menu and click **Execute**. You can view current and historic execution details along with a quick snapshot of recent activity via the total count of executions within the last 30 days. For each execution, you can view vital details such as the unique execution ID, the time it was triggered, and relevant revision information.",docs\choreo-concepts\ci-cd.md/Task execution
"How can one view detailed logs for a specific task execution on the 'Execute' page, and what is the overall purpose of this information?","You can dive deeper into the details by clicking on a specific execution to access its associated logs. This information enhances transparency, troubleshooting capabilities, and overall execution management, allowing you to easily monitor and analyze workflows.",docs\choreo-concepts\ci-cd.md/Task execution
How does Choreo ensure zero downtime during deployments and promotions?,Choreo performs rolling updates to ensure zero downtime between deployments and promotions.,docs\choreo-concepts\ci-cd.md/Zero-downtime deployments
"What process occurs before traffic is switched to a new build during deployment, and what is the benefit of configuring health checks?","A new build undergoes a health check before traffic is switched to it from the current build. If you configure the necessary health checks for a component, it can prevent deploying and promoting unhealthy versions of a component.",docs\choreo-concepts\ci-cd.md/Zero-downtime deployments
"What is a component in the context of a project, specifically in a cloud-native application?",A component within a project represents a single unit of work in a cloud native application.,docs\choreo-concepts\component.md/Component Definition and Core Characteristics
What common types of units of work does a component usually represent?,"A component is usually a single microservice, API, or job/task.",docs\choreo-concepts\component.md/Component Definition and Core Characteristics
"How is a component linked to a Git repository in Choreo, and what content is expected in the linked directory path?",Each component in Choreo is attached to a given directory path in a Git repository which either contains program source code or a Dockerfile with build instructions.,docs\choreo-concepts\component.md/Component Definition and Core Characteristics
What is considered Choreo's fundamental unit for deployment?,A component is Choreo’s unit of deployment.,docs\choreo-concepts\component.md/Component Definition and Core Characteristics
How does a component relate to the Kubernetes cluster during deployment in Choreo?,Each component maps to a single pod in the Kubernetes cluster (data plane) at deployment time.,docs\choreo-concepts\component.md/Component Definition and Core Characteristics
What are the operational implications of each component mapping to a single Kubernetes pod at deployment time in Choreo?,"Because each component maps to a single pod in the Kubernetes cluster (data plane) at deployment time, you can deploy, manage, and scale each component in Choreo independently.",docs\choreo-concepts\component.md/Component Definition and Core Characteristics
"Does Choreo offer support for different types of components, and if so, why?","Yes, Choreo supports different component types for various use cases.",docs\choreo-concepts\component.md/Component Types and Specific Features
Can you list some examples of component types supported by Choreo?,"Component types supported by Choreo include services, API proxies, integrations, web applications, and so on.",docs\choreo-concepts\component.md/Component Types and Specific Features
Do different component types in Choreo possess distinct functionalities?,"Yes, each component type hosts unique features based on its characteristics.",docs\choreo-concepts\component.md/Component Types and Specific Features
Provide an example of a unique feature associated with a specific component type in Choreo.,"For example, a scheduled integration component can accept a cron expression as a configuration to schedule an integration job/task.",docs\choreo-concepts\component.md/Component Types and Specific Features
"What are the two main forms in which services can exist, and what role do Connections play in Choreo?","Services can exist in two main forms: standalone and integrated. Connecting services is an integral part of creating integrated solutions. Choreo allows users to connect services using ""Connections,"" which enables the integration of a service intended for deployment on Choreo with other services on Choreo or with external resources.",docs\choreo-concepts\connections.md/# Connections
"Upon creating a connection to a service on Choreo, what information does Choreo provide, and how is this information used by developers?","Upon creating a connection to a service on Choreo, Choreo provides a Connection ID along with a set of connection parameters. Developers can then configure their service to establish a connection using this Connection ID and map the connection parameters to environment variable names within their Choreo component. These environment variable names can be read in the service implementation to retrieve the values, which are then used to create a programmatic connection to the desired service.",docs\choreo-concepts\connections.md/# Connections
"How does Choreo handle the injection of connection parameter values at runtime, and what are the benefits of this approach?","At runtime, Choreo dynamically injects values into the environment variables based on the configured mapping. This approach ensures that the connection parameter values and the service connection creation remain loosely coupled. This loose coupling provides developers with increased flexibility and ease of maintenance.",docs\choreo-concepts\connections.md/# Connections
What are the different visibility levels available for adding Connections in Choreo?,Connections in Choreo can be added in two different visibility levels: Project and Component.,docs\choreo-concepts\connections.md/## Visibility Levels of Connections
"What are Project Connections, and what is their scope of usage within Choreo?","Project Connections are Connections created to connect to services within a particular project. Their scope of usage is broad, as they can be used by any component within that specific project.",docs\choreo-concepts\connections.md/## Project Connections
Provide an example scenario where creating a Project Connection would be beneficial.,"An example scenario where a Project Connection would be beneficial is when there's a need to share a third-party service, such as Twilio, across an entire project. By creating a Project Connection for Twilio, all components within that project can reuse the same connection.",docs\choreo-concepts\connections.md/## Project Connections
"How do components refer to Project Connections, and how do Project Connections handle OAuth security for Choreo services?","Components can refer to Project Connections using the connection ID. When Project Connections are created to consume Choreo services under the OAuth security scheme, they will share the same OAuth application across the project. Consequently, any component reusing such a connection will utilize the same client ID and client secret.",docs\choreo-concepts\connections.md/## Project Connections
"What are Component Connections, and what is their scope of usage?","Component Connections are Connections defined at the component level. Their scope of usage is limited to the specific component for which they are defined, meaning they are used by only that component.",docs\choreo-concepts\connections.md/## Component Connections
Provide an example scenario where creating a Component Connection would be appropriate.,"An example scenario where a Component Connection would be appropriate is if a developer wants to connect a legacy service specifically to a given component. In this case, a Component Connection would be created for that particular integration.",docs\choreo-concepts\connections.md/## Component Connections
"How do components refer to Component Connections, and how do Component Connections manage OAuth security when a component consumes multiple Choreo services?","Components can refer to the Component Connection using the connection ID. If a component consumes more than one Choreo service, the Component Connections created to consume those Choreo services under the OAuth security scheme can share the same OAuth application by sharing the same client ID and secret between all such connections.",docs\choreo-concepts\connections.md/## Component Connections
What are the two key components of Choreo's architecture?,Choreo's architecture comprises two key components: the control plane and the data plane.,docs\choreo-concepts\data-planes.md/Data Planes
What are the primary responsibilities of the Choreo control plane?,"The control plane handles essential tasks such as administering organizations, users, and projects. In addition, it also governs the entire journey of application development, from the initial stages of creation, progressing to deployment, including measures to enforce governance and the provision for observability.",docs\choreo-concepts\data-planes.md/Data Planes
What is the nature of the Choreo control plane and what does it manage?,The Choreo control plane is a SaaS that manages all cloud data planes and private data planes.,docs\choreo-concepts\data-planes.md/Data Planes
Which diverse user personas does the Choreo control plane cater to?,"The Choreo control plane caters to diverse user personas, including CIOs, architects, and developers, as well as DevOps, site reliability engineers, and platform engineers.",docs\choreo-concepts\data-planes.md/Data Planes
What is the data plane in Choreo's architecture?,The data plane is the environment where user applications are deployed based on configurations set in the control plane.,docs\choreo-concepts\data-planes.md/Data Planes
What types of user applications can be deployed in the Choreo data plane?,"These applications can range from services and web applications to APIs, integrations, and scheduled tasks.",docs\choreo-concepts\data-planes.md/Data Planes
What characteristic defines the programming language support in the Choreo data plane?,"The applications can be written in various programming languages, allowing for a polyglot approach.",docs\choreo-concepts\data-planes.md/Data Planes
What restriction applies to traffic related to the runtime of user applications in Choreo?,"All traffic related to the runtime of user applications is restricted to the Choreo data plane, ensuring strict containment of user data within its boundaries.",docs\choreo-concepts\data-planes.md/Data Planes
What are the two distinct types of data planes featured in Choreo's architecture?,Choreo's architecture features two distinct data plane types: cloud data planes and private data planes.,docs\choreo-concepts\data-planes.md/Data Planes
Describe the characteristics of a cloud data plane in Choreo's architecture.,"A cloud data plane utilizes a multi-tenanted infrastructure model for deploying user applications, creating a shared yet secure environment for application runtime.",docs\choreo-concepts\data-planes.md/Data Planes
Describe the characteristics and benefits of a private data plane (PDP) in Choreo's architecture.,"In contrast, a private data plane (PDP) provides dedicated infrastructure for a single organization to run its user applications. This ensures an added layer of privacy and control for organizations with specific requirements.",docs\choreo-concepts\data-planes.md/Data Planes
With which major cloud providers and infrastructure types can Choreo private data planes be deployed?,"Choreo private data planes can be deployed with almost all major cloud providers, such as Azure, AWS, and GCP, and are also compatible with on-premises infrastructure.",docs\choreo-concepts\data-planes.md/Private data planes - Infrastructure
What are the essential infrastructure requirements for a private data plane?,"The essential requirements for a private data plane include upstream-compatible Kubernetes clusters, a container registry, a key vault (secret store), and a logging service or log storage.",docs\choreo-concepts\data-planes.md/Private data planes - Infrastructure
How is the Choreo PDP system set up on the Kubernetes infrastructure?,Setting up the Choreo PDP system involves using a Helm installation on the Kubernetes infrastructure.,docs\choreo-concepts\data-planes.md/Private data planes - System components
List the software components that are installed during the Helm execution for a Choreo private data plane.,"The following software components are installed during the Helm execution: Cilium CNI and service mesh, Choreo API Gateways and related components, Choreo PDP agent, Observability and logging APIs, along with observability agents, and Flux controller.",docs\choreo-concepts\data-planes.md/Private data planes - System components
"How do the software components within a Choreo private data plane receive automatic updates, including security patches and bug fixes?","All of these software components receive automatic updates, including security patches and bug fixes through the flux controller connected to the Choreo Update Management System.",docs\choreo-concepts\data-planes.md/Private data planes - System components
Why does the private data plane require communication with the Choreo control plane?,The private data plane requires communication with the Choreo control plane to manage various activities.,docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"What is the direction of all communications from the private data plane to the control plane, and what does this imply for network configuration?","All these communications are outbound from the private data plane, ensuring that there is no need to open any specific `IP:Port` from its perspective for these interactions.",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
What specific network configuration is necessary if an organization's network restricts all outbound traffic from the private data plane?,"If an organization's network restricts all outbound traffic, it is necessary to permit outbound traffic to the public IP range of the Choreo control plane.",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Choreo PDP agent' component, including endpoints, direction, and protocol.","For the Choreo PDP agent:
- Endpoint: Choreo control plane (CP) (mizzen server), Direction: Outbound, Protocol: WSS
- Endpoint: Kubernetes API server, Direction: Outbound (cluster internal), Protocol: HTTPS, WS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'APIM/local adaptor' component, including endpoints, direction, and protocol.","For the APIM/local adaptor:
- Endpoint: Global adaptor, Direction: Outbound, Protocol: HTTPS
- Endpoint: Azure Service Bus (CP), Direction: Outbound, Protocol: AMQP",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'APIM/Enforcer' component, including endpoint, direction, and protocol.","For the APIM/Enforcer:
- Endpoint: Event hub (CP), Direction: Outbound, Protocol: AMQP",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Choreo secret resolver' component, including endpoint, direction, and protocol.","For the Choreo secret resolver:
- Endpoint: Cloud secret store, Direction: Outbound (VPC internal), Protocol: HTTPS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Container registry' component, including endpoints, direction, and protocol.","For the Container registry:
- Endpoint: Container registry (public), Direction: Inbound, Protocol: HTTPS
- Endpoint: Container registry, Direction: Outbound (VPC internal), Protocol: HTTPS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Certificate manager' component, including endpoints, direction, and protocol.","For the Certificate manager:
- Endpoint: Azure DNS service, Direction: Outbound, Protocol: HTTPS
- Endpoint: LetsEncrypt, Direction: Outbound, Protocol: HTTPS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Flux source controller' component, including endpoint, direction, and protocol.","For the Flux source controller:
- Endpoint: GitHub, Direction: Outbound, Protocol: HTTPS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
"Detail the inbound and outbound connections for the 'Flux Helm controller' component, including endpoint, direction, and protocol.","For the Flux Helm controller:
- Endpoint: Choreo container registry, Direction: Outbound, Protocol: HTTPS",docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
How is all communication between the control plane and the private data plane secured?,All communication between the control plane and the private data plane is secured using TLS.,docs\choreo-concepts\data-planes.md/Private data planes - Connectivity with the control plane
What is the central commitment of the private data plane observability architecture?,The private data plane observability architecture is centered around a strong commitment to data privacy and compliance.,docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
How is data privacy and compliance achieved in the private data plane observability architecture?,This is achieved through a strategic decision to retain logs and observability data within the data planes itself.,docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"Explain the ""Data storage at source"" aspect of the private data plane observability architecture.","Logs and observability data are stored within the data plane itself, enhancing security, simplifying access, and ensuring compliance.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"Explain the ""Direct browser-to-data-plane interaction"" aspect of the private data plane observability architecture.","The Choreo Console in the user's browser directly interacts with APIs in the data plane, reducing potential data routing complexities and ensuring a more secure, direct flow of information.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"Explain how the ""Reduced data exposure points"" aspect is achieved in the private data plane observability architecture.","Fetching data directly from the data plane's APIs minimizes the number of data transfer points, effectively decreasing the chances of data exposure or interception.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"How does the private data plane observability architecture support ""Compliance with regulatory standards""?","The architecture supports data locality, aligning with global regulatory standards like GDPR and CCPA by keeping data in its original environment.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"How does the private data plane observability architecture provide ""Improved performance and real-time insights""?","Direct interaction between the browser and data plane results in faster data retrieval, providing users with immediate insights.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
"How does the private data plane observability architecture ensure ""User transparency and control""?","Users have a clear view of their data's location and access methods, alongside granular control over data access.",docs\choreo-concepts\data-planes.md/Private data planes - Observability architecture
What kind of security does the Choreo private data plane ensure?,"The Choreo private data plane ensures extensive, production-grade security, ranging from infrastructure and architecture to zero-trust network security.",docs\choreo-concepts\data-planes.md/Private data planes - Security
How is all incoming traffic protected in the Choreo private data plane?,All incoming traffic is protected by a firewall and must undergo authentication and authorization via the API Gateway.,docs\choreo-concepts\data-planes.md/Private data planes - Security
How does the Choreo private data plane ensure end-to-end network traffic encryption?,"It provides end-to-end network traffic encryption using Cilium transparent encryption, ensuring efficient data path encryption.",docs\choreo-concepts\data-planes.md/Private data planes - Security
Where can one find more detailed information about the private data plane security levels supported in Choreo pricing plans?,"For details on the private data plane security levels supported in Choreo pricing plans, one can refer to the ""Private Data Plane Security Levels"" documentation.",docs\choreo-concepts\data-planes.md/Private data planes - Security
What are the management models supported by Choreo for private data planes (PDPs)?,"Choreo supports the following management models for private data planes (PDPs): WSO2 fully managed (infrastructure and PDP in WSO2 subscription) model, WSO2 fully managed (infrastructure and PDP in customer subscription) model, and Customer self-managed (WSO2 provides installation script and updates) model.",docs\choreo-concepts\data-planes.md/Private data planes - Management models
Where can one find detailed information about each private data plane management model to make informed decisions?,"To explore each management model in detail so that one can make informed decisions depending on the supported cloud-based operations and security, one can refer to the ""Private Data Plane Management Models"" documentation.",docs\choreo-concepts\data-planes.md/Private data planes - Management models
